Adversarial Method,Saliency Method,Distance Metric,Best F1 Score,Best Threshold
FGSM,gradcam,cosine,0.7092499337397297,-0.9844099879264832
FGSM,gradcam,squared,0.6947136023549614,308.62457275390625
FGSM,gradcam,absolute,0.6922327733138544,2898.414794921875
FGSM,gradcam,iou_50,0.6893702266182546,-0.8058239221572876
FGSM,gradcam,iou_75,0.6785133565621371,-0.7478376626968384
FGSM,gradcam,iou_90,0.677744087325652,-0.545209527015686
FGSM,gradcam++,cosine,0.703318474492323,-0.9905099868774414
FGSM,gradcam++,squared,0.6910798122065728,214.81021118164062
FGSM,gradcam++,absolute,0.6902377217328346,2685.68701171875
FGSM,gradcam++,iou_50,0.6804775280898876,-0.8590823411941528
FGSM,gradcam++,iou_75,0.6733691840074819,-0.7562018632888794
FGSM,gradcam++,iou_90,0.6720861254531473,-0.697117269039154
FGSM,eigen,cosine,0.6668728097299526,-0.9992475509643555
FGSM,eigen,squared,0.6667353668590272,2.9961955547332764
FGSM,eigen,absolute,0.6668040812119963,159.11940002441406
FGSM,eigen,iou_50,0.6666666666666666,-0.9902821779251099
FGSM,eigen,iou_75,0.6666666666666666,-0.9979439973831177
FGSM,eigen,iou_90,0.6666666666666666,-1.0
FGSM,layer,cosine,0.6738887647978558,-0.9966415166854858
FGSM,layer,squared,0.668405131949515,19.96981430053711
FGSM,layer,absolute,0.6677070328755722,631.8963012695312
FGSM,layer,iou_50,0.6667353668590272,-0.9731494784355164
FGSM,layer,iou_75,0.6668041237113402,-0.9759550094604492
FGSM,layer,iou_90,0.6670103092783505,-0.9928838014602661
PGD,gradcam,cosine,0.7388673765730881,-0.983751654624939
PGD,gradcam,squared,0.7345554997488699,537.6165771484375
PGD,gradcam,absolute,0.7360198388096714,3886.632080078125
PGD,gradcam,iou_50,0.7075263544986516,-0.7675668597221375
PGD,gradcam,iou_75,0.6830870279146142,-0.7237000465393066
PGD,gradcam,iou_90,0.683643486777669,-0.5740345120429993
PGD,gradcam++,cosine,0.7458714506356184,-0.9875549077987671
PGD,gradcam++,squared,0.7361784675072744,419.4458923339844
PGD,gradcam++,absolute,0.7380535401551164,3750.60693359375
PGD,gradcam++,iou_50,0.7126607319485658,-0.7823079824447632
PGD,gradcam++,iou_75,0.686206510795391,-0.7176779508590698
PGD,gradcam++,iou_90,0.684786286229841,-0.5454779863357544
PGD,eigen,cosine,0.7264255058246475,-0.9608626365661621
PGD,eigen,squared,0.7118952760387023,298.36358642578125
PGD,eigen,absolute,0.7056841159290047,2106.640869140625
PGD,eigen,iou_50,0.7079816734989148,-0.6785569787025452
PGD,eigen,iou_75,0.692654028436019,-0.5797303915023804
PGD,eigen,iou_90,0.6739795380234153,-0.7048832774162292
PGD,layer,cosine,0.7538243990230107,-0.9918185472488403
PGD,layer,squared,0.7111886369299776,153.78445434570312
PGD,layer,absolute,0.710013649336146,2059.832275390625
PGD,layer,iou_50,0.7006610009442871,-0.7977367043495178
PGD,layer,iou_75,0.6666666666666666,-0.9940392374992371
PGD,layer,iou_90,0.6666666666666666,-1.0
